timestamp,user_id,username,operation,algorithm,execution_time_s,output_size_bytes,original_filename
2025-11-03T16:30:35.721859,2,b,Decryption,AES,0.0028391999985615257,8985,REPORT_BOOK1.xlsx
2025-11-03T16:46:15.616880,1,a,Encryption,AES,0.00873180000053253,1880560,Draft_1_1.pdf
2025-11-03T16:46:34.741770,1,a,Encryption,AES,0.004178900002443697,1880560,Draft_1_1.pdf
2025-11-03T16:53:13.058686,2,b,Encryption,AES,0.006406000000424683,1880560,Draft_1.pdf
2025-11-24T07:26:36.892874,2,corp,Encryption,AES,0.010951200000818062,594176,canary-mc1.20.4-0.3.3.jar
2025-11-24T07:30:59.971395,2,corp,Encryption,AES,0.007584599999972852,9024,REPORT_BOOK1.xlsx
2025-12-01T22:51:51.318934,1,org,Encryption,AES,0.0010804999983520247,94272,Template-Proposal-TA.docx
2025-12-01T22:52:23.498684,1,org,Encryption,AES,0.00047700000141048804,15056,TA_REFERENCES.xlsx
2025-12-02T08:28:21.340309,1,org,Encryption,AES,0.0006785000005038455,15056,TA_REFERENCES.xlsx
2025-12-02T09:01:26.585008,1,org,Encryption,AES,0.0015400000011140946,348592,SA_QAW_1_NetGuard.docx.pdf
2025-12-02T09:02:06.247019,1,org,Encryption,AES,0.0011546999994607177,348592,SA_QAW_1_NetGuard.docx_1.pdf
2025-12-02T09:04:09.331738,1,org,Encryption,AES,0.0004532999992079567,15056,TA_REFERENCES_1.xlsx
2025-12-02T09:05:12.741935,1,org,Encryption,AES,0.005959000000075321,2646256,IMG_20251104_163623.jpg
